model,model_label,ablation,horizon,task,kpi,is_primary_kpi,mae,rmse,mape_floor1_pct,runnable_status
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,UL PUCCH RSRP low than-120dBm ratio,0,4.877106147459932,8.902116750253919,71.05340223182502,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,UL PUSCH RSRP low than-120dBm ratio,0,7.664043843822689,11.494331707374084,65.93788787234361,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,(E2N or E2W or E2G)Redirection Times,0,2.5736908149556403,5.605870639694843,86.23486324225445,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,Average TA,0,0.16737046821608734,0.3206900994033222,8.828308658719811,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,CQI AVG,1,0.5373894739744365,1.1390889614899515,13.432368014516193,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,Call Drop Rate RNL(%),0,0.1886750709613298,0.4814252426913893,16.81233295646691,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,Call Drop Rate(%),1,0.19233397826200568,0.48536464553451025,17.125452830767816,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,Call Drop Times,0,1.9473748358422838,4.3133517041449885,89.06478149317546,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,Call Drop Times RNL,0,1.8620144011891868,4.16627901922533,89.14384685243927,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,DL Activated Users Avg,0,0.17127942613089633,0.2529130573975216,13.648294670901281,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,DL IBLER,0,1.446929967351765,2.70587614932164,22.249462896639123,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,DL MCS AVG,0,1.2386876737093115,2.153712491235148,21.336062706535774,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,DL RANK2 Ratio,0,7.44355360393408,10.960731624177773,66.48000136019074,run
